ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
-77.8497,-42.9248,1,2012329,0,0,0,-77.8497,-42.9248,1,0,0
-77.8528,-42.9385,1,2012330,0,0,0,-77.8528,-42.9385,1,0,0
-77.839,-43.0092,1,2012331,0,0,0,-77.839,-43.0092,1,0,0
-77.8875,-42.7607,1,2012332,0,0,0,-77.8875,-42.7607,1,0,0
-77.8874,-42.7614,1,2012333,0,0,0,-77.8874,-42.7614,1,0,0
-77.8945,-42.6608,1,2012334,0,0,0,-77.8945,-42.6608,1,0,0
-77.8793,-42.6603,1,2012335,0,0,0,-77.8793,-42.6603,1,0,0
-77.8448,-42.8379,1,2012336,0,0,0,-77.8448,-42.8379,1,0,0
-77.8047,-42.7272,1,2012337,0,0,0,-77.8047,-42.7272,1,0,0
-77.8015,-42.7128,1,2012338,0,0,0,-77.8015,-42.7128,1,0,0
-77.8134,-42.6994,1,2012339,0,0,0,-77.8134,-42.6994,1,0,0
-77.8086,-42.6131,1,2012340,0,0,0,-77.8086,-42.6131,1,0,0
-77.7514,-42.9527,1,2012341,0,0,0,-77.7514,-42.9527,1,0,0
-77.7593,-42.7242,1,2012342,0,0,0,-77.7593,-42.7242,1,0,0
-77.7366,-42.8872,1,2012343,0,0,0,-77.7366,-42.8872,1,0,0
-77.7308,-42.6657,1,2012344,-77.78,-42.55,1,-77.7308,-42.6657,1,11,3
-77.7563,-42.646,1,2012345,-77.7612,-42.6564,0,-77.7563,-42.646,1,0,0
-77.8036,-42.656,1,2012346,-77.742,-42.7573,0,-77.8036,-42.656,1,0,0
-77.7863,-42.7123,1,2012347,-77.7224,-42.8506,0,-77.7863,-42.7123,1,0,0
-77.752,-42.8242,1,2012348,-77.7024,-42.9345,0,-77.752,-42.8242,1,0,0
-77.7505,-42.8168,1,2012349,-77.6819,-43.007,0,-77.7505,-42.8168,1,0,0
-77.7505,-42.8168,1,2012350,-77.6612,-43.0662,0,-77.7505,-42.8168,1,0,0
-77.6887,-43.0042,1,2012351,-77.64,-43.11,1,-77.6887,-43.0042,1,11,3
-77.6663,-43.101,1,2012352,-77.6155,-43.145,0,-77.6663,-43.101,1,0,0
-77.6663,-43.101,1,2012353,-77.5865,-43.178,0,-77.6663,-43.101,1,0,0
-77.6663,-43.101,1,2012354,-77.5561,-43.2078,0,-77.6663,-43.101,1,0,0
-77.6663,-43.101,1,2012355,-77.5273,-43.2331,0,-77.6663,-43.101,1,0,0
-77.6027,-43.193,1,2012356,-77.503,-43.2528,0,-77.6027,-43.193,1,0,0
-77.6027,-43.193,1,2012357,-77.4863,-43.2655,0,-77.6027,-43.193,1,0,0
-77.5054,-43.4646,1,2012358,-77.48,-43.27,1,-77.5054,-43.4646,1,11,3
-77.5054,-43.4646,1,2012359,-77.4833,-43.2607,0,-77.5054,-43.4646,1,0,0
-77.5054,-43.4646,1,2012360,-77.4919,-43.235,0,-77.5054,-43.4646,1,0,0
-77.4966,-43.5249,1,2012361,-77.5036,-43.1964,0,-77.4966,-43.5249,1,0,0
-77.4555,-43.6033,1,2012362,-77.5164,-43.1482,0,-77.4555,-43.6033,1,0,0
-77.4198,-43.6401,1,2012363,-77.5281,-43.0938,0,-77.4198,-43.6401,1,0,0
-77.4444,-43.7476,1,2012364,-77.5367,-43.0366,0,-77.4444,-43.7476,1,0,0
-77.4009,-43.6857,1,2012365,-77.54,-42.98,1,-77.4009,-43.6857,1,11,3
-77.4258,-43.5363,1,2012366,-77.5359,-42.9188,0,-77.4258,-43.5363,1,0,0
-77.4467,-43.4348,1,2013001,-77.5311,-42.8841,0,-77.4467,-43.4348,1,0,0
-77.4676,-43.333,1,2013002,-77.5173,-42.8078,0,-77.4676,-43.333,1,0,0
-77.4808,-43.3905,1,2013003,-77.4993,-42.7241,0,-77.4808,-43.3905,1,0,0
-77.5312,-43.1578,1,2013004,-77.4792,-42.6352,0,-77.5312,-43.1578,1,0,0
-77.538,-43.1241,1,2013005,-77.4588,-42.5431,0,-77.538,-43.1241,1,0,0
